Topic,Words
39,"0.067*""gay"" + 0.028*""sex"" + 0.016*""guy"" + 0.014*""know"" + 0.014*""think"" + 0.009*""people"" + 0.009*""straight"" + 0.009*""rumor"" + 0.009*""mean"" + 0.008*""get"" + 0.008*""virgin"" + 0.007*""would"" + 0.007*""well"" + 0.006*""first"" + 0.006*""name"" + 0.006*""like"" + 0.005*""believe"" + 0.005*""way"" + 0.005*""bottom"" + 0.005*""make"""
44,"0.012*""spoony"" + 0.010*""one"" + 0.010*""people"" + 0.009*""street"" + 0.009*""man"" + 0.009*""news"" + 0.009*""back"" + 0.009*""church"" + 0.009*""cop"" + 0.008*""around"" + 0.008*""sweet"" + 0.008*""bag"" + 0.008*""folk"" + 0.007*""crazy"" + 0.007*""willy"" + 0.007*""seen"" + 0.007*""pea"" + 0.007*""see"" + 0.007*""white"" + 0.007*""would"""
58,"0.029*""wash"" + 0.028*""wa"" + 0.023*""said"" + 0.015*""henry"" + 0.014*""back"" + 0.012*""twin"" + 0.011*""could"" + 0.010*""hand"" + 0.007*""get"" + 0.007*""came"" + 0.007*""one"" + 0.006*""see"" + 0.006*""would"" + 0.005*""time"" + 0.005*""like"" + 0.005*""come"" + 0.005*""know"" + 0.005*""go"" + 0.005*""school"" + 0.005*""still"""
34,"0.197*""water"" + 0.101*""ice"" + 0.071*""pool"" + 0.069*""cream"" + 0.028*""swim"" + 0.027*""rod"" + 0.021*""hot"" + 0.017*""farmer"" + 0.016*""cold"" + 0.009*""boat"" + 0.007*""raft"" + 0.007*""drown"" + 0.006*""splashed"" + 0.005*""splash"" + 0.005*""knowing"" + 0.005*""tan"" + 0.005*""real"" + 0.005*""sandy"" + 0.005*""air"" + 0.005*""foot"""
51,"0.022*""hand"" + 0.017*""back"" + 0.015*""eye"" + 0.014*""like"" + 0.013*""want"" + 0.011*""know"" + 0.011*""feel"" + 0.010*""door"" + 0.010*""say"" + 0.010*""face"" + 0.010*""room"" + 0.010*""head"" + 0.010*""go"" + 0.010*""look"" + 0.009*""arm"" + 0.009*""kiss"" + 0.008*""bed"" + 0.008*""away"" + 0.008*""take"" + 0.008*""around"""
53,"0.034*""room"" + 0.026*""bathroom"" + 0.022*""like"" + 0.017*""bed"" + 0.016*""clothes"" + 0.015*""picture"" + 0.015*""shower"" + 0.013*""toilet"" + 0.012*""shoe"" + 0.011*""naked"" + 0.010*""bag"" + 0.010*""towel"" + 0.010*""boy"" + 0.010*""paper"" + 0.009*""mirror"" + 0.009*""floor"" + 0.009*""locker"" + 0.009*""box"" + 0.009*""one"" + 0.008*""looking"""
33,"0.094*""mad"" + 0.020*""wa"" + 0.018*""know"" + 0.018*""like"" + 0.011*""go"" + 0.010*""think"" + 0.010*""get"" + 0.010*""ur"" + 0.010*""well"" + 0.009*""oh"" + 0.009*""tell"" + 0.007*""say"" + 0.007*""good"" + 0.007*""right"" + 0.007*""yeah"" + 0.006*""really"" + 0.006*""mean"" + 0.006*""got"" + 0.006*""thing"" + 0.006*""said"""
28,"0.306*""tree"" + 0.069*""branch"" + 0.044*""leaf"" + 0.026*""wind"" + 0.022*""freeman"" + 0.021*""trunk"" + 0.020*""sun"" + 0.017*""neck"" + 0.015*""os"" + 0.012*""flower"" + 0.011*""ivy"" + 0.010*""breeze"" + 0.010*""forest"" + 0.009*""plant"" + 0.008*""art"" + 0.008*""shape"" + 0.007*""summer"" + 0.007*""block"" + 0.006*""river"" + 0.006*""cloud"""
0,"0.022*""wa"" + 0.019*""girl"" + 0.014*""one"" + 0.014*""like"" + 0.012*""dress"" + 0.011*""store"" + 0.009*""look"" + 0.008*""dev"" + 0.007*""hair"" + 0.007*""shop"" + 0.006*""flower"" + 0.006*""two"" + 0.006*""around"" + 0.005*""hot"" + 0.005*""well"" + 0.005*""wearing"" + 0.005*""first"" + 0.005*""day"" + 0.005*""front"" + 0.005*""mall"""
74,"0.004*""lose"" + 0.004*""tourniquet"" + 0.004*""tie"" + 0.004*""miss"" + 0.004*""run"" + 0.004*""much"" + 0.004*""around"" + 0.004*""away"" + 0.004*""arm"" + 0.004*""like"" + 0.000*""antechamber"" + 0.000*""loony"" + 0.000*""undecorated"" + 0.000*""inflection"" + 0.000*""ultramodern"" + 0.000*""proctologist"" + 0.000*""chrome"" + 0.000*""traction"" + 0.000*""protector"" + 0.000*""manic"""
